Model,"Gun
(50k)","Gun
(100k)","Gun
(150k)","Knife
(50k)","Knife
(100k)","Knife
(150k)","Wrench
(50k)","Wrench
(100k)","Wrench
(150k)","Pliers
(50k)","Pliers
(100k)","Pliers
(150k)","Scissors
(50k)","Scissors
(100k)","Scissors
(150k)","Macro 
mAP
(50k)","Macro 
mAP
(100k)","Macro 
mAP
(150k)","Micro
mAP
(50k)","Micro 
mAP
(100k)","Micro
mAP
(150k)","Weight
 mAP
(50k)","Weight
 mAP
(100k)","Weight
mAP
(150k)"
"faster
rcnn
inception
v2",95.66,95.387,95.082,76.663,70.469,66.983,68.049,58.367,51.876,73.651,64.596,58.648,33.204,20.059,14.29,69.445,61.775,57.376,70.37,59.634,52.593,75.422,68.577,64.34
"faster
rcnn
resnet101",98.18,97.519,97.042,80.729,71.799,66.811,73.671,62.509,54.611,74.318,62.92,54.085,29.056,17.894,13.583,71.191,62.528,57.226,75.668,65.185,58.088,77.614,69.365,63.755
"faster
rcnn
resnet50",97.9,97.194,96.394,72.919,62.225,56.563,77.269,66.473,60.341,73.288,62.431,54.711,23.526,14.138,9.702,68.98,60.492,55.543,70.876,59.153,51.251,76.26,68.121,63.017
"rfcn
resnet101",98.534,97.898,97.342,72.717,62.771,53.866,62.191,47.046,38.478,68.909,54.09,45.727,24.153,13.314,9.474,65.301,55.024,48.977,72.633,59.933,52.247,72.176,61.93,55.779
"ssd
inception
v2",97.852,97.02,96.367,93.615,90.812,89.092,73.284,64.996,58.838,75.288,66.176,61.092,39.309,28.862,24.302,75.87,69.573,65.938,81.628,74.923,70.666,80.533,74.513,70.897
"ssd
mobilenet
fpn",95.134,94.225,93.65,78.902,74.353,70.76,72.052,64.771,58.664,77.822,72.101,67.203,41.76,29.938,22.268,73.134,67.077,62.509,76.653,70.137,64.86,78.43,73.328,69.275
"ssd
mobilenet
v1",91.703,90.421,89.304,61.169,50.341,42.48,61.047,53.739,48.779,70.091,62.566,57.194,30.257,23.22,20.615,62.853,56.057,51.675,65.808,58.244,52.782,69.369,63.004,58.628
"ssd
resnet50",95.424,95.027,94.777,75.365,70.558,66.901,66.904,60.065,54.518,72.978,62.834,56.256,42.781,31.335,25.148,70.69,63.964,59.52,73.402,65.224,59.609,75.488,69.126,64.812
